test solvable/easy ... bench:       1,189 ns/iter (+/- 6)
test solvable/medium ... bench:       7,243 ns/iter (+/- 42)
test solvable/hard ... bench:     217,094 ns/iter (+/- 884)
test solvable/extra hard ... bench:     667,189 ns/iter (+/- 2,419)
test solvable/2x hard ... bench:   2,576,460 ns/iter (+/- 84,460)
test solvable/fully solved ... bench:         323 ns/iter (+/- 0)
test invalid/multiple collisions ... bench:          38 ns/iter (+/- 0)
test invalid/row collisions ... bench:          37 ns/iter (+/- 0)
test invalid/col collisions ... bench:          77 ns/iter (+/- 0)
test invalid/box collisions ... bench:         148 ns/iter (+/- 0)
