test solvable/easy ... bench:         655 ns/iter (+/- 3)
test solvable/medium ... bench:       4,134 ns/iter (+/- 31)
test solvable/hard ... bench:     122,011 ns/iter (+/- 737)
test solvable/extra hard ... bench:     411,946 ns/iter (+/- 2,223)
test solvable/2x hard ... bench:   1,546,460 ns/iter (+/- 9,609)
test solvable/fully solved ... bench:         157 ns/iter (+/- 1)
test invalid/multiple collisions ... bench:          14 ns/iter (+/- 0)
test invalid/row collisions ... bench:          15 ns/iter (+/- 0)
test invalid/col collisions ... bench:          27 ns/iter (+/- 0)
test invalid/box collisions ... bench:          58 ns/iter (+/- 0)
