test solvable/easy ... bench:         530 ns/iter (+/- 3)
test solvable/medium ... bench:         833 ns/iter (+/- 12)
test solvable/hard ... bench:       1,083 ns/iter (+/- 49)
test solvable/extra hard ... bench:       1,308 ns/iter (+/- 35)
test solvable/2x hard ... bench:       1,468 ns/iter (+/- 5)
test solvable/fully solved ... bench:         134 ns/iter (+/- 1)
test invalid/multiple collisions ... bench:          54 ns/iter (+/- 1)
test invalid/row collisions ... bench:          61 ns/iter (+/- 0)
test invalid/col collisions ... bench:         113 ns/iter (+/- 1)
test invalid/box collisions ... bench:         221 ns/iter (+/- 1)
