test solvable/easy ... bench:       5,035 ns/iter (+/- 25)
test solvable/medium ... bench:       5,276 ns/iter (+/- 24)
test solvable/hard ... bench:       9,116 ns/iter (+/- 44)
test solvable/extra hard ... bench:       9,019 ns/iter (+/- 59)
test solvable/2x hard ... bench:      29,298 ns/iter (+/- 135)
test solvable/fully solved ... bench:         141 ns/iter (+/- 0)
test invalid/multiple collisions ... bench:          57 ns/iter (+/- 1)
test invalid/row collisions ... bench:          62 ns/iter (+/- 1)
test invalid/col collisions ... bench:         109 ns/iter (+/- 1)
test invalid/box collisions ... bench:         232 ns/iter (+/- 1)
