test solvable/easy ... bench:       2,711 ns/iter (+/- 13)
test solvable/medium ... bench:       9,191 ns/iter (+/- 18)
test solvable/hard ... bench:     294,697 ns/iter (+/- 1,222)
test solvable/extra hard ... bench:     949,739 ns/iter (+/- 2,948)
test solvable/2x hard ... bench:   3,711,520 ns/iter (+/- 12,433)
test solvable/fully solved ... bench:       3,398 ns/iter (+/- 46)
test invalid/multiple collisions ... bench:         430 ns/iter (+/- 6)
test invalid/row collisions ... bench:         421 ns/iter (+/- 6)
test invalid/col collisions ... bench:       1,127 ns/iter (+/- 15)
test invalid/box collisions ... bench:       1,632 ns/iter (+/- 26)
