test solvable/easy ... bench:         471 ns/iter (+/- 3)
test solvable/medium ... bench:       1,564 ns/iter (+/- 9)
test solvable/hard ... bench:      30,598 ns/iter (+/- 144)
test solvable/extra hard ... bench:     116,990 ns/iter (+/- 370)
test solvable/2x hard ... bench:     444,504 ns/iter (+/- 1,214)
test solvable/fully solved ... bench:         134 ns/iter (+/- 0)
test invalid/multiple collisions ... bench:          52 ns/iter (+/- 0)
test invalid/row collisions ... bench:          59 ns/iter (+/- 0)
test invalid/col collisions ... bench:         111 ns/iter (+/- 0)
test invalid/box collisions ... bench:         250 ns/iter (+/- 2)
