test solvable/easy ... bench:         638 ns/iter (+/- 3)
test solvable/medium ... bench:       4,045 ns/iter (+/- 14)
test solvable/hard ... bench:     118,158 ns/iter (+/- 386)
test solvable/extra hard ... bench:     391,683 ns/iter (+/- 1,594)
test solvable/2x hard ... bench:   1,485,172 ns/iter (+/- 3,658)
test solvable/fully solved ... bench:         100 ns/iter (+/- 0)
test invalid/multiple collisions ... bench:          16 ns/iter (+/- 0)
test invalid/row collisions ... bench:          13 ns/iter (+/- 0)
test invalid/col collisions ... bench:          27 ns/iter (+/- 0)
test invalid/box collisions ... bench:          57 ns/iter (+/- 0)
