test solvable/easy ... bench:         581 ns/iter (+/- 1)
test solvable/medium ... bench:       3,603 ns/iter (+/- 33)
test solvable/hard ... bench:      92,305 ns/iter (+/- 7,340)
test solvable/extra hard ... bench:     309,386 ns/iter (+/- 2,842)
test solvable/2x hard ... bench:   1,291,136 ns/iter (+/- 9,191)
test solvable/fully solved ... bench:         137 ns/iter (+/- 0)
test invalid/multiple collisions ... bench:          15 ns/iter (+/- 0)
test invalid/row collisions ... bench:          14 ns/iter (+/- 0)
test invalid/col collisions ... bench:          27 ns/iter (+/- 0)
test invalid/box collisions ... bench:          52 ns/iter (+/- 0)
