test solvable/easy ... bench:         649 ns/iter (+/- 3)
test solvable/medium ... bench:       4,005 ns/iter (+/- 34)
test solvable/hard ... bench:     115,198 ns/iter (+/- 630)
test solvable/extra hard ... bench:     396,100 ns/iter (+/- 1,674)
test solvable/2x hard ... bench:   1,536,312 ns/iter (+/- 8,351)
test solvable/fully solved ... bench:         149 ns/iter (+/- 0)
test invalid/multiple collisions ... bench:          14 ns/iter (+/- 0)
test invalid/row collisions ... bench:          15 ns/iter (+/- 0)
test invalid/col collisions ... bench:          26 ns/iter (+/- 0)
test invalid/box collisions ... bench:          58 ns/iter (+/- 0)
