test solvable/easy ... bench:       2,400 ns/iter (+/- 22)
test solvable/medium ... bench:       7,051 ns/iter (+/- 28)
test solvable/hard ... bench:     223,543 ns/iter (+/- 2,040)
test solvable/extra hard ... bench:     734,755 ns/iter (+/- 2,315)
test solvable/2x hard ... bench:   2,931,659 ns/iter (+/- 9,466)
test solvable/fully solved ... bench:       3,644 ns/iter (+/- 43)
test invalid/multiple collisions ... bench:         417 ns/iter (+/- 6)
test invalid/row collisions ... bench:         422 ns/iter (+/- 5)
test invalid/col collisions ... bench:       1,118 ns/iter (+/- 16)
test invalid/box collisions ... bench:       1,636 ns/iter (+/- 25)
