test solvable/easy ... bench:       6,179 ns/iter (+/- 31)
test solvable/medium ... bench:       6,354 ns/iter (+/- 30)
test solvable/hard ... bench:      10,452 ns/iter (+/- 68)
test solvable/extra hard ... bench:      10,407 ns/iter (+/- 61)
test solvable/2x hard ... bench:      34,056 ns/iter (+/- 211)
test solvable/fully solved ... bench:         134 ns/iter (+/- 0)
test invalid/multiple collisions ... bench:          55 ns/iter (+/- 0)
test invalid/row collisions ... bench:          62 ns/iter (+/- 1)
test invalid/col collisions ... bench:         129 ns/iter (+/- 1)
test invalid/box collisions ... bench:         229 ns/iter (+/- 2)
