test solvable/easy ... bench:         430 ns/iter (+/- 1)
test solvable/medium ... bench:         713 ns/iter (+/- 4)
test solvable/hard ... bench:       1,051 ns/iter (+/- 11)
test solvable/extra hard ... bench:       1,223 ns/iter (+/- 13)
test solvable/2x hard ... bench:       1,404 ns/iter (+/- 32)
test solvable/fully solved ... bench:         128 ns/iter (+/- 1)
test invalid/multiple collisions ... bench:          37 ns/iter (+/- 0)
test invalid/row collisions ... bench:          51 ns/iter (+/- 0)
test invalid/col collisions ... bench:          67 ns/iter (+/- 0)
test invalid/box collisions ... bench:         104 ns/iter (+/- 1)
