test solvable/easy ... bench:       2,473 ns/iter (+/- 15)
test solvable/medium ... bench:       7,115 ns/iter (+/- 26)
test solvable/hard ... bench:     224,141 ns/iter (+/- 882)
test solvable/extra hard ... bench:     731,327 ns/iter (+/- 2,168)
test solvable/2x hard ... bench:   2,923,470 ns/iter (+/- 11,908)
test solvable/fully solved ... bench:       3,415 ns/iter (+/- 45)
test invalid/multiple collisions ... bench:         443 ns/iter (+/- 7)
test invalid/row collisions ... bench:         447 ns/iter (+/- 8)
test invalid/col collisions ... bench:       1,162 ns/iter (+/- 15)
test invalid/box collisions ... bench:       1,688 ns/iter (+/- 21)
