test solvable/easy ... bench:         731 ns/iter (+/- 1)
test solvable/medium ... bench:       4,675 ns/iter (+/- 9)
test solvable/hard ... bench:     120,057 ns/iter (+/- 500)
test solvable/extra hard ... bench:     421,162 ns/iter (+/- 1,345)
test solvable/2x hard ... bench:   1,678,027 ns/iter (+/- 3,417)
test solvable/fully solved ... bench:         189 ns/iter (+/- 0)
test invalid/multiple collisions ... bench:          16 ns/iter (+/- 0)
test invalid/row collisions ... bench:          16 ns/iter (+/- 0)
test invalid/col collisions ... bench:          28 ns/iter (+/- 0)
test invalid/box collisions ... bench:          53 ns/iter (+/- 0)
