test solvable/easy ... bench:         472 ns/iter (+/- 2)
test solvable/medium ... bench:       1,602 ns/iter (+/- 6)
test solvable/hard ... bench:      29,576 ns/iter (+/- 75)
test solvable/extra hard ... bench:      98,642 ns/iter (+/- 220)
test solvable/2x hard ... bench:     420,646 ns/iter (+/- 1,124)
test solvable/fully solved ... bench:         132 ns/iter (+/- 1)
test invalid/multiple collisions ... bench:          52 ns/iter (+/- 0)
test invalid/row collisions ... bench:          60 ns/iter (+/- 0)
test invalid/col collisions ... bench:         122 ns/iter (+/- 0)
test invalid/box collisions ... bench:         256 ns/iter (+/- 2)
