test solvable/easy ... bench:         578 ns/iter (+/- 9)
test solvable/medium ... bench:         884 ns/iter (+/- 6)
test solvable/hard ... bench:       1,072 ns/iter (+/- 8)
test solvable/extra hard ... bench:       1,404 ns/iter (+/- 7)
test solvable/2x hard ... bench:       1,611 ns/iter (+/- 8)
test solvable/fully solved ... bench:         134 ns/iter (+/- 1)
test invalid/multiple collisions ... bench:          52 ns/iter (+/- 0)
test invalid/row collisions ... bench:          64 ns/iter (+/- 0)
test invalid/col collisions ... bench:         118 ns/iter (+/- 0)
test invalid/box collisions ... bench:         219 ns/iter (+/- 2)
