test solvable/easy ... bench:         582 ns/iter (+/- 1)
test solvable/medium ... bench:       3,593 ns/iter (+/- 30)
test solvable/hard ... bench:      92,109 ns/iter (+/- 569)
test solvable/extra hard ... bench:     308,984 ns/iter (+/- 16,530)
test solvable/2x hard ... bench:   1,291,159 ns/iter (+/- 8,747)
test solvable/fully solved ... bench:         137 ns/iter (+/- 0)
test invalid/multiple collisions ... bench:          15 ns/iter (+/- 0)
test invalid/row collisions ... bench:          14 ns/iter (+/- 0)
test invalid/col collisions ... bench:          27 ns/iter (+/- 0)
test invalid/box collisions ... bench:          53 ns/iter (+/- 0)
