test solvable/easy ... bench:         743 ns/iter (+/- 1)
test solvable/medium ... bench:       4,902 ns/iter (+/- 21)
test solvable/hard ... bench:     124,881 ns/iter (+/- 524)
test solvable/extra hard ... bench:     434,127 ns/iter (+/- 2,239)
test solvable/2x hard ... bench:   1,774,264 ns/iter (+/- 5,725)
test solvable/fully solved ... bench:         182 ns/iter (+/- 0)
test invalid/multiple collisions ... bench:          16 ns/iter (+/- 0)
test invalid/row collisions ... bench:          16 ns/iter (+/- 0)
test invalid/col collisions ... bench:          28 ns/iter (+/- 0)
test invalid/box collisions ... bench:          54 ns/iter (+/- 0)
