test solvable/easy ... bench:         398 ns/iter (+/- 1)
test solvable/medium ... bench:         670 ns/iter (+/- 9)
test solvable/hard ... bench:         886 ns/iter (+/- 2)
test solvable/extra hard ... bench:       1,112 ns/iter (+/- 2)
test solvable/2x hard ... bench:       1,269 ns/iter (+/- 2)
test solvable/fully solved ... bench:         129 ns/iter (+/- 1)
test invalid/multiple collisions ... bench:          37 ns/iter (+/- 1)
test invalid/row collisions ... bench:          52 ns/iter (+/- 0)
test invalid/col collisions ... bench:          66 ns/iter (+/- 0)
test invalid/box collisions ... bench:         103 ns/iter (+/- 1)
